sample,channel,normalized,mse_loss,psd_loss
21,2m_temperature,denormalized,249.52728271484375,1.7159559726715088
21,mean_sea_level_pressure,denormalized,185493.28125,1.8124622106552124
22,10m_u_component_of_wind,denormalized,9.317333221435547,1.7343823909759521
22,10m_v_component_of_wind,denormalized,5.680658340454102,1.7264083623886108
22,2m_temperature,denormalized,134.3829345703125,1.7748634815216064
22,mean_sea_level_pressure,denormalized,240713.203125,1.7567821741104126
23,10m_u_component_of_wind,denormalized,0.8485903739929199,1.6335409879684448
23,10m_v_component_of_wind,denormalized,1.05389404296875,1.7267849445343018
23,2m_temperature,denormalized,13.12833023071289,1.5964140892028809
23,mean_sea_level_pressure,denormalized,15483.7578125,1.6380407810211182
24,10m_u_component_of_wind,denormalized,1.2103996276855469,1.6771364212036133
24,10m_v_component_of_wind,denormalized,1.3097622394561768,1.7835429906845093
24,2m_temperature,denormalized,50.53643035888672,1.653316617012024
24,mean_sea_level_pressure,denormalized,660716.125,1.6577365398406982
25,10m_u_component_of_wind,denormalized,6.167724132537842,1.6925268173217773
25,10m_v_component_of_wind,denormalized,6.149749755859375,1.6918995380401611
25,2m_temperature,denormalized,55.65847396850586,1.7251213788986206
25,mean_sea_level_pressure,denormalized,82048.546875,1.7678613662719727
26,10m_u_component_of_wind,denormalized,3.3435122966766357,1.7069919109344482
26,10m_v_component_of_wind,denormalized,7.246228218078613,1.763554334640503
26,2m_temperature,denormalized,33.85696029663086,1.7806669473648071
26,mean_sea_level_pressure,denormalized,329045.0,1.7363665103912354
27,10m_u_component_of_wind,denormalized,2.891119956970215,1.6789894104003906
27,10m_v_component_of_wind,denormalized,3.915372371673584,1.739376425743103
27,2m_temperature,denormalized,30.140380859375,1.6947349309921265
27,mean_sea_level_pressure,denormalized,91322.9921875,1.711466908454895
28,10m_u_component_of_wind,denormalized,2.927489757537842,1.684283971786499
28,10m_v_component_of_wind,denormalized,5.197063446044922,1.7758663892745972
28,2m_temperature,denormalized,25.24233627319336,1.7235835790634155
28,mean_sea_level_pressure,denormalized,903606.125,1.683990240097046
29,10m_u_component_of_wind,denormalized,3.0172901153564453,1.6711969375610352
29,10m_v_component_of_wind,denormalized,5.246079444885254,1.7324206829071045
29,2m_temperature,denormalized,56.9600830078125,1.6541740894317627
29,mean_sea_level_pressure,denormalized,245069.078125,1.6725674867630005
30,10m_u_component_of_wind,denormalized,2.2758350372314453,1.7308273315429688
30,10m_v_component_of_wind,denormalized,4.216335296630859,1.776354193687439
30,2m_temperature,denormalized,43.0569953918457,1.7740145921707153
30,mean_sea_level_pressure,denormalized,245637.765625,1.7329708337783813
31,10m_u_component_of_wind,denormalized,4.914566993713379,1.7950109243392944
31,10m_v_component_of_wind,denormalized,8.670621871948242,1.8356212377548218
31,2m_temperature,denormalized,195.9918212890625,1.7906794548034668
31,mean_sea_level_pressure,denormalized,507395.375,1.8528194427490234
32,10m_u_component_of_wind,denormalized,4.989869594573975,1.7908955812454224
32,10m_v_component_of_wind,denormalized,9.71018123626709,1.7835805416107178
32,2m_temperature,denormalized,166.50357055664062,1.7314084768295288
32,mean_sea_level_pressure,denormalized,599372.375,1.8077913522720337
33,10m_u_component_of_wind,denormalized,3.8001437187194824,1.7338093519210815
33,10m_v_component_of_wind,denormalized,5.686016082763672,1.7300666570663452
33,2m_temperature,denormalized,37.78117370605469,1.7684829235076904
33,mean_sea_level_pressure,denormalized,93791.421875,1.7651901245117188
34,10m_u_component_of_wind,denormalized,3.8755381107330322,1.770010232925415
34,10m_v_component_of_wind,denormalized,6.057968616485596,1.8256194591522217
34,2m_temperature,denormalized,47.124210357666016,1.8267592191696167
34,mean_sea_level_pressure,denormalized,140527.0625,1.754351019859314
35,10m_u_component_of_wind,denormalized,4.307363510131836,1.7657036781311035
35,10m_v_component_of_wind,denormalized,5.027788162231445,1.8312056064605713
35,2m_temperature,denormalized,99.19725036621094,1.7887189388275146
35,mean_sea_level_pressure,denormalized,821791.0,1.8209130764007568
36,10m_u_component_of_wind,denormalized,4.863327980041504,1.7812203168869019
36,10m_v_component_of_wind,denormalized,4.656108856201172,1.7439966201782227
36,2m_temperature,denormalized,335.3857727050781,1.6874561309814453
36,mean_sea_level_pressure,denormalized,700621.375,1.787084937095642
37,10m_u_component_of_wind,denormalized,1.4539306163787842,1.6574344635009766
37,10m_v_component_of_wind,denormalized,1.9897167682647705,1.757091999053955
37,2m_temperature,denormalized,116.69393920898438,1.6725738048553467
37,mean_sea_level_pressure,denormalized,72898.515625,1.625093698501587
38,10m_u_component_of_wind,denormalized,6.242976188659668,1.7774298191070557
38,10m_v_component_of_wind,denormalized,7.165519714355469,1.8289928436279297
38,2m_temperature,denormalized,162.13890075683594,1.8095695972442627
38,mean_sea_level_pressure,denormalized,352279.8125,1.8857932090759277
39,10m_u_component_of_wind,denormalized,6.7152557373046875,1.757101058959961
39,10m_v_component_of_wind,denormalized,6.793978691101074,1.8632092475891113
39,2m_temperature,denormalized,316.6769714355469,1.781237244606018
39,mean_sea_level_pressure,denormalized,696469.0,1.9047695398330688
40,10m_u_component_of_wind,denormalized,6.166875839233398,1.7450196743011475
40,10m_v_component_of_wind,denormalized,8.081167221069336,1.8086174726486206
40,2m_temperature,denormalized,156.36111450195312,1.7227364778518677
40,mean_sea_level_pressure,denormalized,471913.75,1.856521487236023
41,10m_u_component_of_wind,denormalized,5.599761009216309,1.753413438796997
41,10m_v_component_of_wind,denormalized,7.897544860839844,1.817238450050354
41,2m_temperature,denormalized,120.78080749511719,1.7914036512374878
41,mean_sea_level_pressure,denormalized,300937.15625,1.8720147609710693
42,10m_u_component_of_wind,denormalized,3.9217190742492676,1.6929947137832642
42,10m_v_component_of_wind,denormalized,4.975957870483398,1.7781516313552856
42,2m_temperature,denormalized,29.009521484375,1.6945418119430542
42,mean_sea_level_pressure,denormalized,194586.84375,1.7399177551269531
43,10m_u_component_of_wind,denormalized,3.2526307106018066,1.71260666847229
43,10m_v_component_of_wind,denormalized,3.7100210189819336,1.8356817960739136
43,2m_temperature,denormalized,23.674571990966797,1.6974647045135498
43,mean_sea_level_pressure,denormalized,103013.3125,1.7654588222503662
44,10m_u_component_of_wind,denormalized,5.472604751586914,1.7202647924423218
44,10m_v_component_of_wind,denormalized,4.811819076538086,1.762845516204834
44,2m_temperature,denormalized,96.9283447265625,1.745531678199768
44,mean_sea_level_pressure,denormalized,1020767.1875,1.8463568687438965
45,10m_u_component_of_wind,denormalized,4.683087348937988,1.7065857648849487
45,10m_v_component_of_wind,denormalized,5.496404647827148,1.7662678956985474
45,2m_temperature,denormalized,214.42709350585938,1.755305528640747
45,mean_sea_level_pressure,denormalized,562504.0,1.808052897453308
46,10m_u_component_of_wind,denormalized,5.144756317138672,1.7500231266021729
46,10m_v_component_of_wind,denormalized,6.411845684051514,1.8429018259048462
46,2m_temperature,denormalized,42.426788330078125,1.692762017250061
46,mean_sea_level_pressure,denormalized,303253.46875,1.7843884229660034
47,10m_u_component_of_wind,denormalized,4.950172424316406,1.7831472158432007
47,10m_v_component_of_wind,denormalized,7.187385559082031,1.9372283220291138
47,2m_temperature,denormalized,117.16264343261719,1.7639909982681274
47,mean_sea_level_pressure,denormalized,312390.90625,1.8406050205230713
48,10m_u_component_of_wind,denormalized,4.018383502960205,1.7020189762115479
48,10m_v_component_of_wind,denormalized,5.136090278625488,1.7906444072723389
48,2m_temperature,denormalized,74.90043640136719,1.6896344423294067
48,mean_sea_level_pressure,denormalized,225829.59375,1.808329463005066
49,10m_u_component_of_wind,denormalized,2.0949671268463135,1.6533886194229126
49,10m_v_component_of_wind,denormalized,2.285677909851074,1.6922833919525146
49,2m_temperature,denormalized,138.82559204101562,1.6958521604537964
49,mean_sea_level_pressure,denormalized,102981.65625,1.6877806186676025
50,10m_u_component_of_wind,denormalized,3.7966275215148926,1.6858234405517578
50,10m_v_component_of_wind,denormalized,4.539723873138428,1.7702982425689697
50,2m_temperature,denormalized,32.75490951538086,1.7307318449020386
50,mean_sea_level_pressure,denormalized,115099.90625,1.6647045612335205
51,10m_u_component_of_wind,denormalized,2.3059632778167725,1.6399261951446533
51,10m_v_component_of_wind,denormalized,3.3346128463745117,1.756833553314209
