sample,channel,normalized,mse_loss,psd_loss
18,mean_sea_level_pressure,denormalized,347082.0,2.0024936199188232
19,10m_u_component_of_wind,denormalized,5.19573974609375,1.9942742586135864
19,10m_v_component_of_wind,denormalized,4.45372200012207,2.2049620151519775
19,2m_temperature,denormalized,77.70930480957031,2.04976224899292
19,mean_sea_level_pressure,denormalized,146159.0625,1.98664391040802
20,10m_u_component_of_wind,denormalized,4.932117938995361,1.9808727502822876
20,10m_v_component_of_wind,denormalized,3.1679539680480957,2.2343406677246094
20,2m_temperature,denormalized,21.682533264160156,1.9819313287734985
20,mean_sea_level_pressure,denormalized,312480.125,2.044689178466797
21,10m_u_component_of_wind,denormalized,6.401461601257324,1.9573277235031128
21,10m_v_component_of_wind,denormalized,6.786340236663818,2.0834927558898926
21,2m_temperature,denormalized,543.2116088867188,1.9409825801849365
21,mean_sea_level_pressure,denormalized,301173.1875,2.0668630599975586
22,10m_u_component_of_wind,denormalized,2.8990161418914795,1.9106080532073975
22,10m_v_component_of_wind,denormalized,2.262716293334961,2.1762850284576416
22,2m_temperature,denormalized,13.668350219726562,2.0971834659576416
22,mean_sea_level_pressure,denormalized,90239.125,1.9791828393936157
23,10m_u_component_of_wind,denormalized,7.856234073638916,1.9493739604949951
23,10m_v_component_of_wind,denormalized,6.232930660247803,2.124239444732666
23,2m_temperature,denormalized,106.99136352539062,2.02024507522583
23,mean_sea_level_pressure,denormalized,774247.5,2.0070176124572754
24,10m_u_component_of_wind,denormalized,4.007602691650391,2.0271947383880615
24,10m_v_component_of_wind,denormalized,3.4274301528930664,2.2091922760009766
24,2m_temperature,denormalized,89.52134704589844,2.071969509124756
24,mean_sea_level_pressure,denormalized,457935.1875,2.0030295848846436
25,10m_u_component_of_wind,denormalized,1.9239790439605713,1.858055591583252
25,10m_v_component_of_wind,denormalized,1.5593780279159546,2.0139474868774414
25,2m_temperature,denormalized,111.4898681640625,1.9211291074752808
25,mean_sea_level_pressure,denormalized,99893.0546875,1.9568274021148682
26,10m_u_component_of_wind,denormalized,3.4470534324645996,1.8771653175354004
26,10m_v_component_of_wind,denormalized,3.9563088417053223,2.039562702178955
26,2m_temperature,denormalized,68.9156265258789,2.0454273223876953
26,mean_sea_level_pressure,denormalized,61869.95703125,1.9690449237823486
27,10m_u_component_of_wind,denormalized,0.6548174619674683,2.0035269260406494
27,10m_v_component_of_wind,denormalized,0.813231885433197,2.3496296405792236
27,2m_temperature,denormalized,27.396835327148438,2.173368453979492
27,mean_sea_level_pressure,denormalized,16662.83203125,1.972739338874817
28,10m_u_component_of_wind,denormalized,2.8425941467285156,2.2016093730926514
28,10m_v_component_of_wind,denormalized,3.2229866981506348,2.3936657905578613
28,2m_temperature,denormalized,413.844482421875,2.329763174057007
28,mean_sea_level_pressure,denormalized,85739.7734375,1.926212191581726
29,10m_u_component_of_wind,denormalized,2.40937876701355,1.8912858963012695
29,10m_v_component_of_wind,denormalized,4.11582612991333,2.1032683849334717
29,2m_temperature,denormalized,134.0833282470703,2.018737316131592
29,mean_sea_level_pressure,denormalized,662653.875,2.021259307861328
30,10m_u_component_of_wind,denormalized,2.9389166831970215,1.9629486799240112
30,10m_v_component_of_wind,denormalized,2.44486665725708,2.2927660942077637
30,2m_temperature,denormalized,81.28470611572266,2.130207061767578
30,mean_sea_level_pressure,denormalized,2127642.0,2.0406763553619385
31,10m_u_component_of_wind,denormalized,3.493675708770752,1.9867019653320312
31,10m_v_component_of_wind,denormalized,3.748044013977051,2.3090364933013916
31,2m_temperature,denormalized,35.13014221191406,2.1168386936187744
31,mean_sea_level_pressure,denormalized,60137.8359375,2.025975465774536
32,10m_u_component_of_wind,denormalized,6.806985855102539,1.8981925249099731
32,10m_v_component_of_wind,denormalized,8.773685455322266,2.0350117683410645
32,2m_temperature,denormalized,210.5055694580078,1.9947739839553833
32,mean_sea_level_pressure,denormalized,1637364.75,2.047049045562744
33,10m_u_component_of_wind,denormalized,1.7097574472427368,1.9259684085845947
33,10m_v_component_of_wind,denormalized,3.313908100128174,2.1867995262145996
33,2m_temperature,denormalized,15.295754432678223,2.213501453399658
33,mean_sea_level_pressure,denormalized,179265.578125,2.013495922088623
34,10m_u_component_of_wind,denormalized,4.3188910484313965,2.0218164920806885
34,10m_v_component_of_wind,denormalized,7.895720958709717,2.257063388824463
34,2m_temperature,denormalized,668.3575439453125,2.2440664768218994
34,mean_sea_level_pressure,denormalized,912512.0625,2.0494394302368164
35,10m_u_component_of_wind,denormalized,3.4691028594970703,2.064513921737671
35,10m_v_component_of_wind,denormalized,4.126653671264648,2.287928581237793
35,2m_temperature,denormalized,204.37088012695312,2.319185256958008
35,mean_sea_level_pressure,denormalized,124310.15625,2.1101245880126953
36,10m_u_component_of_wind,denormalized,0.841812252998352,1.9755895137786865
36,10m_v_component_of_wind,denormalized,1.1718273162841797,2.2565081119537354
36,2m_temperature,denormalized,11.176732063293457,2.247897148132324
36,mean_sea_level_pressure,denormalized,60828.859375,2.1117937564849854
37,10m_u_component_of_wind,denormalized,3.541512966156006,1.9005175828933716
37,10m_v_component_of_wind,denormalized,2.744368076324463,2.192214250564575
37,2m_temperature,denormalized,28.10847282409668,2.131978988647461
37,mean_sea_level_pressure,denormalized,100881.4375,2.019249439239502
38,10m_u_component_of_wind,denormalized,4.549649715423584,1.9689127206802368
