sample,channel,normalized,loss_type,loss_value
34,2m_temperature,denormalized,MSE,6.737515449523926
34,mean_sea_level_pressure,denormalized,MSE,8418.66796875
35,10m_u_component_of_wind,denormalized,MSE,0.3251187205314636
35,10m_v_component_of_wind,denormalized,MSE,0.5656800270080566
35,2m_temperature,denormalized,MSE,7.543816089630127
35,mean_sea_level_pressure,denormalized,MSE,9654.705078125
36,10m_u_component_of_wind,denormalized,MSE,0.2879404127597809
36,10m_v_component_of_wind,denormalized,MSE,0.48092883825302124
36,2m_temperature,denormalized,MSE,5.175477027893066
36,mean_sea_level_pressure,denormalized,MSE,12186.7099609375
37,10m_u_component_of_wind,denormalized,MSE,0.31931331753730774
37,10m_v_component_of_wind,denormalized,MSE,0.5596505403518677
37,2m_temperature,denormalized,MSE,5.241019248962402
37,mean_sea_level_pressure,denormalized,MSE,9165.73828125
38,10m_u_component_of_wind,denormalized,MSE,0.3750181496143341
38,10m_v_component_of_wind,denormalized,MSE,0.5562627911567688
38,2m_temperature,denormalized,MSE,6.389931678771973
38,mean_sea_level_pressure,denormalized,MSE,10960.1796875
39,10m_u_component_of_wind,denormalized,MSE,0.39213818311691284
39,10m_v_component_of_wind,denormalized,MSE,0.6455744504928589
39,2m_temperature,denormalized,MSE,7.325894832611084
39,mean_sea_level_pressure,denormalized,MSE,14554.3427734375
40,10m_u_component_of_wind,denormalized,MSE,0.32687991857528687
40,10m_v_component_of_wind,denormalized,MSE,0.6228528022766113
40,2m_temperature,denormalized,MSE,6.514712810516357
40,mean_sea_level_pressure,denormalized,MSE,15365.88671875
41,10m_u_component_of_wind,denormalized,MSE,0.382748544216156
41,10m_v_component_of_wind,denormalized,MSE,0.6556332111358643
41,2m_temperature,denormalized,MSE,6.426079750061035
41,mean_sea_level_pressure,denormalized,MSE,11415.2861328125
42,10m_u_component_of_wind,denormalized,MSE,0.4671889543533325
42,10m_v_component_of_wind,denormalized,MSE,0.7001676559448242
42,2m_temperature,denormalized,MSE,6.822093963623047
42,mean_sea_level_pressure,denormalized,MSE,15706.4453125
43,10m_u_component_of_wind,denormalized,MSE,0.4729077219963074
43,10m_v_component_of_wind,denormalized,MSE,0.6904377341270447
43,2m_temperature,denormalized,MSE,7.462693214416504
43,mean_sea_level_pressure,denormalized,MSE,19259.427734375
44,10m_u_component_of_wind,denormalized,MSE,0.37296468019485474
44,10m_v_component_of_wind,denormalized,MSE,0.5705661773681641
44,2m_temperature,denormalized,MSE,5.245094299316406
44,mean_sea_level_pressure,denormalized,MSE,18868.49609375
45,10m_u_component_of_wind,denormalized,MSE,0.3956100046634674
45,10m_v_component_of_wind,denormalized,MSE,0.5864622592926025
45,2m_temperature,denormalized,MSE,4.533848762512207
45,mean_sea_level_pressure,denormalized,MSE,11284.9736328125
46,10m_u_component_of_wind,denormalized,MSE,0.44508859515190125
46,10m_v_component_of_wind,denormalized,MSE,0.6530187129974365
46,2m_temperature,denormalized,MSE,5.402571678161621
46,mean_sea_level_pressure,denormalized,MSE,14704.0
47,10m_u_component_of_wind,denormalized,MSE,0.4656470715999603
47,10m_v_component_of_wind,denormalized,MSE,0.6723270416259766
47,2m_temperature,denormalized,MSE,5.396161079406738
47,mean_sea_level_pressure,denormalized,MSE,16802.94140625
48,10m_u_component_of_wind,denormalized,MSE,0.35942500829696655
48,10m_v_component_of_wind,denormalized,MSE,0.6281630992889404
48,2m_temperature,denormalized,MSE,5.982935905456543
48,mean_sea_level_pressure,denormalized,MSE,14350.4384765625
49,10m_u_component_of_wind,denormalized,MSE,0.3882575035095215
49,10m_v_component_of_wind,denormalized,MSE,0.5531683564186096
49,2m_temperature,denormalized,MSE,4.895839691162109
49,mean_sea_level_pressure,denormalized,MSE,9857.62890625
50,10m_u_component_of_wind,denormalized,MSE,0.41707637906074524
50,10m_v_component_of_wind,denormalized,MSE,0.48035210371017456
50,2m_temperature,denormalized,MSE,4.325641632080078
50,mean_sea_level_pressure,denormalized,MSE,10677.3046875
51,10m_u_component_of_wind,denormalized,MSE,0.4494714140892029
51,10m_v_component_of_wind,denormalized,MSE,0.5889297723770142
51,2m_temperature,denormalized,MSE,5.936640739440918
51,mean_sea_level_pressure,denormalized,MSE,12130.966796875
52,10m_u_component_of_wind,denormalized,MSE,0.46316805481910706
52,10m_v_component_of_wind,denormalized,MSE,0.5577040910720825
52,2m_temperature,denormalized,MSE,5.777760982513428
52,mean_sea_level_pressure,denormalized,MSE,8481.25390625
53,10m_u_component_of_wind,denormalized,MSE,0.3371437191963196
53,10m_v_component_of_wind,denormalized,MSE,0.5189321041107178
53,2m_temperature,denormalized,MSE,5.165772438049316
53,mean_sea_level_pressure,denormalized,MSE,7565.8349609375
54,10m_u_component_of_wind,denormalized,MSE,0.3696180284023285
54,10m_v_component_of_wind,denormalized,MSE,0.5478004813194275
54,2m_temperature,denormalized,MSE,4.586511611938477
54,mean_sea_level_pressure,denormalized,MSE,7302.138671875
55,10m_u_component_of_wind,denormalized,MSE,0.3746168613433838
55,10m_v_component_of_wind,denormalized,MSE,0.6370068788528442
55,2m_temperature,denormalized,MSE,6.46323299407959
55,mean_sea_level_pressure,denormalized,MSE,8488.8671875
56,10m_u_component_of_wind,denormalized,MSE,0.3621807098388672
56,10m_v_component_of_wind,denormalized,MSE,0.5163524150848389
56,2m_temperature,denormalized,MSE,5.016336441040039
56,mean_sea_level_pressure,denormalized,MSE,10231.5205078125
57,10m_u_component_of_wind,denormalized,MSE,0.31240448355674744
57,10m_v_component_of_wind,denormalized,MSE,0.4429609179496765
57,2m_temperature,denormalized,MSE,5.0352020263671875
57,mean_sea_level_pressure,denormalized,MSE,8528.8740234375
58,10m_u_component_of_wind,denormalized,MSE,0.35033056139945984
58,10m_v_component_of_wind,denormalized,MSE,0.5221741199493408
