sample,channel,normalized,loss_type,loss_value
41,2m_temperature,denormalized,MSE,3.7967638969421387
41,mean_sea_level_pressure,denormalized,MSE,9594.1103515625
42,10m_u_component_of_wind,denormalized,MSE,0.38568973541259766
42,10m_v_component_of_wind,denormalized,MSE,0.5693432688713074
42,2m_temperature,denormalized,MSE,4.789456367492676
42,mean_sea_level_pressure,denormalized,MSE,15464.955078125
43,10m_u_component_of_wind,denormalized,MSE,0.4084702134132385
43,10m_v_component_of_wind,denormalized,MSE,0.5611683130264282
43,2m_temperature,denormalized,MSE,4.822781562805176
43,mean_sea_level_pressure,denormalized,MSE,18515.08203125
44,10m_u_component_of_wind,denormalized,MSE,0.31854134798049927
44,10m_v_component_of_wind,denormalized,MSE,0.5272759199142456
44,2m_temperature,denormalized,MSE,3.4165754318237305
44,mean_sea_level_pressure,denormalized,MSE,14813.4658203125
45,10m_u_component_of_wind,denormalized,MSE,0.3323512673377991
45,10m_v_component_of_wind,denormalized,MSE,0.49030041694641113
45,2m_temperature,denormalized,MSE,3.167501926422119
45,mean_sea_level_pressure,denormalized,MSE,9564.4091796875
46,10m_u_component_of_wind,denormalized,MSE,0.384989857673645
46,10m_v_component_of_wind,denormalized,MSE,0.5786257982254028
46,2m_temperature,denormalized,MSE,3.977238655090332
46,mean_sea_level_pressure,denormalized,MSE,12312.9140625
47,10m_u_component_of_wind,denormalized,MSE,0.40915825963020325
47,10m_v_component_of_wind,denormalized,MSE,0.5995246767997742
47,2m_temperature,denormalized,MSE,4.799447059631348
47,mean_sea_level_pressure,denormalized,MSE,14643.486328125
48,10m_u_component_of_wind,denormalized,MSE,0.3078644871711731
48,10m_v_component_of_wind,denormalized,MSE,0.4619165360927582
48,2m_temperature,denormalized,MSE,3.0057382583618164
48,mean_sea_level_pressure,denormalized,MSE,11469.724609375
49,10m_u_component_of_wind,denormalized,MSE,0.3480179011821747
49,10m_v_component_of_wind,denormalized,MSE,0.4514878988265991
49,2m_temperature,denormalized,MSE,3.1896471977233887
49,mean_sea_level_pressure,denormalized,MSE,8992.5068359375
50,10m_u_component_of_wind,denormalized,MSE,0.4168824255466461
50,10m_v_component_of_wind,denormalized,MSE,0.5037580728530884
50,2m_temperature,denormalized,MSE,3.148960828781128
50,mean_sea_level_pressure,denormalized,MSE,9978.02734375
51,10m_u_component_of_wind,denormalized,MSE,0.3991202414035797
51,10m_v_component_of_wind,denormalized,MSE,0.5150045156478882
51,2m_temperature,denormalized,MSE,4.478979587554932
51,mean_sea_level_pressure,denormalized,MSE,10062.7099609375
52,10m_u_component_of_wind,denormalized,MSE,0.4109783172607422
52,10m_v_component_of_wind,denormalized,MSE,0.47331610321998596
52,2m_temperature,denormalized,MSE,3.5047497749328613
52,mean_sea_level_pressure,denormalized,MSE,7304.048828125
53,10m_u_component_of_wind,denormalized,MSE,0.36493608355522156
53,10m_v_component_of_wind,denormalized,MSE,0.5107267498970032
53,2m_temperature,denormalized,MSE,4.046134948730469
53,mean_sea_level_pressure,denormalized,MSE,7455.4169921875
54,10m_u_component_of_wind,denormalized,MSE,0.336470365524292
54,10m_v_component_of_wind,denormalized,MSE,0.48030781745910645
54,2m_temperature,denormalized,MSE,3.3300838470458984
54,mean_sea_level_pressure,denormalized,MSE,5624.8798828125
55,10m_u_component_of_wind,denormalized,MSE,0.3909732699394226
55,10m_v_component_of_wind,denormalized,MSE,0.5136544704437256
55,2m_temperature,denormalized,MSE,4.150331020355225
55,mean_sea_level_pressure,denormalized,MSE,6162.400390625
56,10m_u_component_of_wind,denormalized,MSE,0.3278842270374298
56,10m_v_component_of_wind,denormalized,MSE,0.41570866107940674
56,2m_temperature,denormalized,MSE,3.4754745960235596
56,mean_sea_level_pressure,denormalized,MSE,7541.173828125
57,10m_u_component_of_wind,denormalized,MSE,0.27773627638816833
57,10m_v_component_of_wind,denormalized,MSE,0.389482319355011
57,2m_temperature,denormalized,MSE,3.272275447845459
57,mean_sea_level_pressure,denormalized,MSE,6230.44384765625
58,10m_u_component_of_wind,denormalized,MSE,0.33127814531326294
58,10m_v_component_of_wind,denormalized,MSE,0.47499310970306396
58,2m_temperature,denormalized,MSE,3.8813254833221436
58,mean_sea_level_pressure,denormalized,MSE,6665.4150390625
59,10m_u_component_of_wind,denormalized,MSE,0.38635021448135376
59,10m_v_component_of_wind,denormalized,MSE,0.5359230041503906
59,2m_temperature,denormalized,MSE,4.173046112060547
59,mean_sea_level_pressure,denormalized,MSE,8305.1328125
60,10m_u_component_of_wind,denormalized,MSE,0.33534592390060425
60,10m_v_component_of_wind,denormalized,MSE,0.4716881811618805
60,2m_temperature,denormalized,MSE,3.5145249366760254
60,mean_sea_level_pressure,denormalized,MSE,10711.6474609375
61,10m_u_component_of_wind,denormalized,MSE,0.416861355304718
61,10m_v_component_of_wind,denormalized,MSE,0.6141464710235596
61,2m_temperature,denormalized,MSE,3.912064552307129
61,mean_sea_level_pressure,denormalized,MSE,8705.685546875
62,10m_u_component_of_wind,denormalized,MSE,0.35228443145751953
62,10m_v_component_of_wind,denormalized,MSE,0.511894941329956
62,2m_temperature,denormalized,MSE,4.422191619873047
62,mean_sea_level_pressure,denormalized,MSE,8754.54296875
63,10m_u_component_of_wind,denormalized,MSE,0.40257272124290466
63,10m_v_component_of_wind,denormalized,MSE,0.5995321273803711
63,2m_temperature,denormalized,MSE,4.242430686950684
63,mean_sea_level_pressure,denormalized,MSE,10102.546875
64,10m_u_component_of_wind,denormalized,MSE,0.29995623230934143
64,10m_v_component_of_wind,denormalized,MSE,0.4351600706577301
64,2m_temperature,denormalized,MSE,2.941786527633667
64,mean_sea_level_pressure,denormalized,MSE,10839.2275390625
65,10m_u_component_of_wind,denormalized,MSE,0.32757794857025146
65,10m_v_component_of_wind,denormalized,MSE,0.5414418578147888
65,2m_temperature,denormalized,MSE,3.940408706665039
65,mean_sea_level_pressure,denormalized,MSE,9275.2783203125
66,10m_u_component_of_wind,denormalized,MSE,0.35605937242507935
66,10m_v_component_of_wind,denormalized,MSE,0.52963787317276
66,2m_temperature,denormalized,MSE,4.537712097167969
66,mean_sea_level_pressure,denormalized,MSE,6899.06494140625
67,10m_u_component_of_wind,denormalized,MSE,0.3555089831352234
67,10m_v_component_of_wind,denormalized,MSE,0.488379567861557
67,2m_temperature,denormalized,MSE,4.986672401428223
67,mean_sea_level_pressure,denormalized,MSE,7505.34375
68,10m_u_component_of_wind,denormalized,MSE,0.2539542317390442
68,10m_v_component_of_wind,denormalized,MSE,0.3863602578639984
68,2m_temperature,denormalized,MSE,4.016707420349121
68,mean_sea_level_pressure,denormalized,MSE,7661.9990234375
69,10m_u_component_of_wind,denormalized,MSE,0.29031816124916077
69,10m_v_component_of_wind,denormalized,MSE,0.49269983172416687
69,2m_temperature,denormalized,MSE,3.2310361862182617
69,mean_sea_level_pressure,denormalized,MSE,6574.41015625
70,10m_u_component_of_wind,denormalized,MSE,0.2967391610145569
70,10m_v_component_of_wind,denormalized,MSE,0.4618303179740906
70,2m_temperature,denormalized,MSE,3.617215633392334
70,mean_sea_level_pressure,denormalized,MSE,7023.828125
71,10m_u_component_of_wind,denormalized,MSE,0.314622700214386
71,10m_v_component_of_wind,denormalized,MSE,0.5199205875396729
71,2m_temperature,denormalized,MSE,3.647935628890991
71,mean_sea_level_pressure,denormalized,MSE,6640.0439453125
72,10m_u_component_of_wind,denormalized,MSE,0.3321637511253357
72,10m_v_component_of_wind,denormalized,MSE,0.4666783809661865
72,2m_temperature,denormalized,MSE,3.5482404232025146
72,mean_sea_level_pressure,denormalized,MSE,8936.744140625
73,10m_u_component_of_wind,denormalized,MSE,0.35030147433280945
73,10m_v_component_of_wind,denormalized,MSE,0.4816080629825592
73,2m_temperature,denormalized,MSE,4.128361701965332
73,mean_sea_level_pressure,denormalized,MSE,7094.125
74,10m_u_component_of_wind,denormalized,MSE,0.3171510696411133
74,10m_v_component_of_wind,denormalized,MSE,0.5113580226898193
74,2m_temperature,denormalized,MSE,3.4070801734924316
74,mean_sea_level_pressure,denormalized,MSE,7393.8779296875
75,10m_u_component_of_wind,denormalized,MSE,0.3182130455970764
75,10m_v_component_of_wind,denormalized,MSE,0.4669104218482971
75,2m_temperature,denormalized,MSE,3.9514288902282715
75,mean_sea_level_pressure,denormalized,MSE,6742.39794921875
76,10m_u_component_of_wind,denormalized,MSE,0.27510279417037964
76,10m_v_component_of_wind,denormalized,MSE,0.4170851707458496
76,2m_temperature,denormalized,MSE,3.273297071456909
76,mean_sea_level_pressure,denormalized,MSE,7119.2861328125
77,10m_u_component_of_wind,denormalized,MSE,0.2996019721031189
77,10m_v_component_of_wind,denormalized,MSE,0.4672165513038635
77,2m_temperature,denormalized,MSE,3.013059377670288
77,mean_sea_level_pressure,denormalized,MSE,7242.2607421875
78,10m_u_component_of_wind,denormalized,MSE,0.3595283031463623
78,10m_v_component_of_wind,denormalized,MSE,0.5642300844192505
78,2m_temperature,denormalized,MSE,3.5475940704345703
78,mean_sea_level_pressure,denormalized,MSE,9014.0146484375
79,10m_u_component_of_wind,denormalized,MSE,0.2990957498550415
79,10m_v_component_of_wind,denormalized,MSE,0.5305233001708984
79,2m_temperature,denormalized,MSE,3.166484832763672
79,mean_sea_level_pressure,denormalized,MSE,11437.6357421875
80,10m_u_component_of_wind,denormalized,MSE,0.3959112763404846
80,10m_v_component_of_wind,denormalized,MSE,0.5746673345565796
80,2m_temperature,denormalized,MSE,3.659731388092041
80,mean_sea_level_pressure,denormalized,MSE,9292.369140625
81,10m_u_component_of_wind,denormalized,MSE,0.37495577335357666
81,10m_v_component_of_wind,denormalized,MSE,0.5721580386161804
81,2m_temperature,denormalized,MSE,3.3953773975372314
81,mean_sea_level_pressure,denormalized,MSE,8734.2314453125
82,10m_u_component_of_wind,denormalized,MSE,0.39183509349823
82,10m_v_component_of_wind,denormalized,MSE,0.6413732767105103
82,2m_temperature,denormalized,MSE,4.700360298156738
82,mean_sea_level_pressure,denormalized,MSE,14103.234375
83,10m_u_component_of_wind,denormalized,MSE,0.3238097131252289
83,10m_v_component_of_wind,denormalized,MSE,0.47618263959884644
83,2m_temperature,denormalized,MSE,3.6964476108551025
83,mean_sea_level_pressure,denormalized,MSE,11616.0341796875
84,10m_u_component_of_wind,denormalized,MSE,0.3278079032897949
84,10m_v_component_of_wind,denormalized,MSE,0.48969024419784546
84,2m_temperature,denormalized,MSE,3.582709789276123
84,mean_sea_level_pressure,denormalized,MSE,8493.8681640625
85,10m_u_component_of_wind,denormalized,MSE,0.3453916311264038
85,10m_v_component_of_wind,denormalized,MSE,0.5249857902526855
85,2m_temperature,denormalized,MSE,3.665278911590576
85,mean_sea_level_pressure,denormalized,MSE,7043.623046875
86,10m_u_component_of_wind,denormalized,MSE,0.35318267345428467
86,10m_v_component_of_wind,denormalized,MSE,0.5141470432281494
86,2m_temperature,denormalized,MSE,3.1558547019958496
86,mean_sea_level_pressure,denormalized,MSE,9227.0703125
87,10m_u_component_of_wind,denormalized,MSE,0.24369584023952484
87,10m_v_component_of_wind,denormalized,MSE,0.435331255197525
87,2m_temperature,denormalized,MSE,3.3063747882843018
87,mean_sea_level_pressure,denormalized,MSE,7792.63037109375
88,10m_u_component_of_wind,denormalized,MSE,0.326310396194458
88,10m_v_component_of_wind,denormalized,MSE,0.39664706587791443
88,2m_temperature,denormalized,MSE,4.043604373931885
88,mean_sea_level_pressure,denormalized,MSE,6965.83154296875
89,10m_u_component_of_wind,denormalized,MSE,0.29882198572158813
89,10m_v_component_of_wind,denormalized,MSE,0.39473670721054077
89,2m_temperature,denormalized,MSE,3.012911319732666
89,mean_sea_level_pressure,denormalized,MSE,5474.349609375
90,10m_u_component_of_wind,denormalized,MSE,0.329842209815979
90,10m_v_component_of_wind,denormalized,MSE,0.5274079442024231
90,2m_temperature,denormalized,MSE,3.610260486602783
90,mean_sea_level_pressure,denormalized,MSE,7760.5283203125
91,10m_u_component_of_wind,denormalized,MSE,0.350075900554657
91,10m_v_component_of_wind,denormalized,MSE,0.39666253328323364
91,2m_temperature,denormalized,MSE,4.291313171386719
91,mean_sea_level_pressure,denormalized,MSE,6596.2353515625
92,10m_u_component_of_wind,denormalized,MSE,0.32012221217155457
92,10m_v_component_of_wind,denormalized,MSE,0.522429347038269
92,2m_temperature,denormalized,MSE,3.2520415782928467
92,mean_sea_level_pressure,denormalized,MSE,5504.490234375
93,10m_u_component_of_wind,denormalized,MSE,0.26244330406188965
93,10m_v_component_of_wind,denormalized,MSE,0.38396596908569336
93,2m_temperature,denormalized,MSE,2.976811408996582
